"Qty","Reference","Description","Value/MPN","Purchase Link"
"1","BT1","Battery Holder","2468","https://www.digikey.com/product-detail/en/keystone-electronics/2466/36-2466-ND/303815"
"1","C1","0805 Capacitor","10nF","~"
"2","C2, C3","0805 Capacitor","0.1µF","~"
"12","D1, D2, D3, D4, D5, D6, D7, D8, D9, D10, D11, D12","","APA102-2020","http://www.led-color.com/upload/201604/APA102-2020%20SMD%20LED.pdf"
"1","D13","Schottky Diode","BAT54C","http://www.diodes.com/_files/datasheets/ds11005.pdf"
"4","H1, H2, H3, H4","","Threaded_Standoff","https://www.adafruit.com/product/4207"
"2","J1, J3","","Conn_01x09_Female","~"
"2","J2, J4","","Conn_01x09_Male","~"
"1","J5","","Conn_02x03_Odd_Even","~"
"1","Q1","P-Channel MOSFET","FDN340P","https://www.digikey.com/products/en?keywords=FDN340PCT-ND"
"1","Q2","N-Channel MOSFET","BSS123","https://www.digikey.com/products/en?keywords=BSS123LT1GOSCT-ND"
"1","R1","0805 Resistor","100KΩ","~"
"1","R3","0805 Resistor","330Ω","~"
"1","R4","0805 Resistor","1MΩ","~"
"10","R5, R6, R7, R8, R9, R10, R11, R12, R13, R14","0805 Resistor","10KΩ","~"
"15","S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12, S13, S14, S16","Mechanical Key Switch","Gateron Blue","https://www.amazon.com/Gateron-KS-9-Mechanical-Type-Switch/dp/B07X3TH4DS?th=1"
"1","S15","Button","B3FS-1010P","https://www.digikey.com/products/en?keywords=sw1440ct"
"1","SW1","Toggle Switch","SW_SPST","https://www.digikey.com/en/products/detail/nkk-switches/M2012EA2W13/4509655"
"2","U1, U2","Yellow 4-Digit Display","LTC-4727JS","https://www.digikey.com/products/en?keywords=LTC-4727JS"
"2","U3, U7","7-Segment Display Driver","AS1115-BSST","https://www.digikey.com/products/en?keywords=AS1115-BSSTCT-ND"
"1","U4","","ATSAMD21E","https://www.digikey.com/en/products/detail/microchip-technology/ATSAMD21E18A-AU/4935886"
"2","U5, U6","Red 4-Digit Display","LTC-4727JR","https://www.digikey.com/products/en?keywords=160-1551-5-nd"
"1","U8","","AT24C01C-STUM",""
